objid,ra,dec,u,g,r,i,z,class
1237661923405398112,140.314851652135,10.2947397771974,16.28064,15.15026,14.47934,14.09797,13.78572,QSO
1237661924478156950,137.930315482839,10.6053895614535,18.9825,18.59719,17.94871,17.48023,17.25961,QSO
1237661924478484523,138.626944306011,10.8183463529732,18.85936,18.94407,18.45749,17.92679,17.83483,QSO
1237661924478746812,139.245069004774,11.0012224086628,18.93984,18.19422,17.2178,16.65832,16.36343,QSO
1237661948634529912,163.137415877662,10.6055783898919,18.79799,16.37448,15.40359,14.77397,14.41174,QSO
1237659330310766617,237.12357276523,46.991820897281,17.76405,16.9651,16.30487,15.85403,15.62355,QSO
1237659330314371099,244.963801586261,40.9798137994441,16.50927,15.36081,14.71042,14.3392,14.03507,QSO
1237659330847637731,237.589779641735,47.1626089154795,18.96562,17.87803,16.9501,16.48504,16.18778,QSO
1237661852535816274,161.416644407576,43.7599991085663,19.21799,19.17222,18.76158,18.53726,18.27608,QSO
1237659324416458937,241.272199424957,42.6354679236673,19.48309,18.89443,18.00799,17.53941,17.21313,QSO
1237659324942254083,208.460956459389,57.2905211279964,18.72214,18.64056,18.53677,18.28444,18.21862,QSO
1237661871323086879,164.146085967068,41.7673902335121,18.39444,17.54138,16.55999,16.06599,16.14937,QSO
1237656528921034962,262.659475231577,55.0046820244761,19.51565,19.29657,18.7779,18.41394,18.18082,QSO
1237659324950970548,236.325203106623,46.6438991634655,19.29366,18.13941,17.12276,16.49981,16.2591,QSO
1237661871864676488,178.598701628031,44.1399197778704,19.3891,18.85327,18.29852,17.92367,17.80869,QSO
1237661871867494510,187.440027188502,44.1596026582512,19.2777,18.57624,17.87241,17.42362,17.26466,QSO
1237659325481943158,219.313032987778,54.8788344476214,18.16946,18.22189,18.1072,18.10893,17.95277,QSO
1237659325482336507,220.868335896747,54.4925393897433,19.56443,19.08926,18.417,17.9258,17.77402,QSO
1237659325484302388,227.070624295892,52.0949336774375,18.46046,18.38128,18.05897,17.69759,17.68577,QSO
1237661871880536185,225.716187301735,36.4315434041879,19.10067,18.88634,18.55609,18.36335,18.16125,QSO
1237659325490724907,243.249318139273,42.3278774581989,18.75108,18.20844,17.82067,17.52082,17.63456,QSO
1237661871881519256,228.01865257351,35.2975827990646,19.22655,19.04609,18.60428,18.19289,18.13936,QSO
1237661871883813035,233.420635434982,32.7029390138782,19.42537,18.79045,17.87438,17.39124,17.08223,QSO
1237661872397156412,164.865036808622,42.9554091616592,18.3311,18.26489,17.98297,17.87391,17.62776,QSO
1237661872397942880,167.165304222691,43.1990876115386,19.32831,18.92846,18.48739,18.08321,18.03075,QSO
1237661872398074055,167.593389238693,43.3692100588509,19.43183,19.09384,18.55651,18.2578,17.96435,QSO
1237661872398139519,167.819687702987,43.385603294591,19.37076,18.99556,18.23638,17.74411,17.56634,QSO
1237659326020321290,224.747139024632,53.5865816471679,18.59416,18.59617,18.25972,18.03001,17.69298,QSO
1237659326026350794,241.009362876823,44.6246472159666,19.21557,19.01828,18.49824,18.09745,17.96702,QSO
1237661872400498856,175.188970915091,44.2291913765862,19.50031,18.54632,17.71065,17.3726,17.1233,QSO
1237659329773699116,236.168621521465,46.8980583950205,18.34008,18.22466,17.86392,17.48664,17.46952,QSO
1237661872416227583,222.813969315031,37.8830377264301,19.40554,18.89472,18.24789,17.90054,17.71394,QSO
1237661872936124419,171.022360013171,44.346619957452,18.33967,18.29852,17.93139,17.61534,17.41295,QSO
1237661872937500705,175.484961185865,44.7879586977727,18.0507,17.84765,17.64657,17.46174,17.48685,QSO
1237661872957292736,233.414065924038,33.7223880349503,19.1191,18.52506,17.73955,17.29242,17.04665,QSO
1237661873467621508,154.844648432002,41.3472041625746,19.52254,19.1396,18.45748,17.9911,17.73811,QSO
1237661873475354883,178.586349575043,45.3915345310306,19.14153,18.22787,17.29855,16.89504,16.71949,QSO
1237659897248743814,264.800245462224,54.7959432511593,19.26464,18.76631,17.99713,17.56321,17.22532,QSO
1237661873493114937,231.122247325552,35.2561330999265,19.15462,18.64259,18.07172,17.78104,17.58845,QSO
1237659931611890334,15.8796963739405,46.1570865523425,19.12231,18.59864,17.9313,17.46355,17.25165,QSO
1237661874010914942,174.378168600775,45.5603694611898,19.12506,17.71922,16.85676,16.50587,16.28427,QSO
1237661948648554530,195.71048969582,11.3077674674239,17.3847,17.33445,17.17607,16.93614,16.96688,QSO
1237661949180575857,184.3666348623,11.9178015170797,19.55782,19.16154,18.63598,18.33884,18.17241,QSO
1237661949190144231,206.762506375786,11.0886482282203,19.52116,18.89588,18.17606,17.77952,17.58042,QSO
1237661949193552147,214.566039502983,10.2843531174533,18.78853,18.58906,18.22087,18.04135,17.80199,QSO
1237660344474468462,147.73707959209,41.5631545817927,18.36058,18.156,17.80099,17.53388,17.35861,QSO
1237661949200826643,231.268087061402,8.09346630647389,19.38551,19.24843,18.45629,18.03257,17.62279,QSO
1237660345008455835,139.956468635525,38.6603594899371,19.46595,18.99495,18.25289,17.88989,17.59723,QSO
1237661949717381378,184.184748550824,12.4140311646986,19.28989,18.33486,17.38228,17.01211,16.65743,QSO
